10/03/2016,86,44,15,62,42,31,23,14,81,79,16,13,10,
11/03/2016,86,44,15,62,41,30,23,14,80,76,16,13,10,
12/03/2016,85,44,15,62,41,30,23,15,79,78,16,13,10,
13/03/2016,85,44,15,62,41,30,23,15,79,78,16,13,10,
14/03/2016,82,44,15,62,41,30,23,15,76,78,16,13,10,
15/03/2016,83,45,16,64,41,30,22,15,78,79,16,13,10,
16/03/2016,83,45,16,64,41,31,22,15,78,78,16,13,10,
17/03/2016,83,45,16,64,41,30,22,15,79,79,16,13,10,
18/03/2016,83,45,16,65,41,31,22,15,81,80,16,13,10,
19/03/2016,83,45,16,65,41,31,22,15,81,80,16,13,10,
20/03/2016,83,45,16,65,41,31,22,15,81,80,16,13,10,
21/03/2016,82,45,16,66,41,32,21,15,79,79,16,13,10,
22/03/2016,82,45,16,66,41,32,22,14,79,79,15,12,10,
23/03/2016,82,45,16,67,42,33,22,14,79,79,15,12,10,
24/03/2016,82,45,16,68,42,33,22,14,79,79,15,12,10,
25/03/2016,82,46,16,67,42,33,22,14,80,79,15,12,10,
26/03/2016,82,47,16,67,42,33,22,14,80,79,15,12,10,
27/03/2016,82,47,16,67,42,33,22,14,80,79,15,12,10,
28/03/2016,81,47,14,64,43,34,22,14,77,76,13,13,10,
29/03/2016,82,47,16,67,43,34,22,14,80,79,16,13,10,
30/03/2016,82,47,16,68,43,34,22,15,81,81,16,13,10,
31/03/2016,83,47,16,69,43,34,22,15,82,81,16,13,10,
01/04/2016,83,48,17,69,43,34,22,15,83,81,16,13,10,
02/04/2016,83,48,17,69,43,34,22,15,83,81,16,13,10,
03/04/2016,83,48,17,69,43,34,22,15,83,81,16,13,10,
04/04/2016,84,48,17,69,42,32,22,16,80,80,16,13,10,
05/04/2016,84,49,17,69,42,32,22,16,80,81,16,13,10,
06/04/2016,84,49,16,69,42,32,22,16,80,81,16,13,10,
07/04/2016,80,49,16,63,41,29,22,16,70,78,15,12,10,
08/04/2016,80,49,16,64,41,29,22,16,73,80,15,11,10,
09/04/2016,80,49,16,64,41,29,22,16,73,80,15,11,10,
10/04/2016,80,49,16,64,41,29,22,16,73,80,15,11,10,
11/04/2016,79,48,15,63,40,28,22,16,70,78,15,11,10,
12/04/2016,80,48,15,63,41,28,22,16,71,79,15,11,10,
